TimeStamp,Latitude,Longitude
20151025_122511,41.5028746,-81.6021815
20151025_131843,41.5030944,-81.6019093
20151025_144459,41.5030528,-81.6016419
20151025_144615,41.5027926,-81.6011807
20151025_144631,41.5027813,-81.6012125
20151025_144712,41.5024795,-81.6018452
20151025_145020,41.5005715,-81.6015159
20151025_145154,41.5010357,-81.6024465
20151025_145226,41.5008266,-81.6024706
20151025_145304,41.5007292,-81.6025451
20151025_145313,41.5006915,-81.6025738
20151025_145346,41.5004183,-81.6027203
20151025_221351,41.5025477,-81.6017135
20151025_221854,41.5026107,-81.6017406
